目标数,精确最优值,匹配EDD目标值,模拟退火目标值,LNS目标值,匹配EDD最优差距百分比,模拟退火最优差距百分比,LNS最优差距百分比
6,433.4000,483.1000,433.4000,433.4000,10.9125,0.0000,0.0000
8,791.3000,817.0000,799.7000,791.3000,3.0225,0.9118,0.0000
