experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
budget,16,6,0,21861106,20421130,SA,full,300.000000,300.002000,2938.000000,528,2410,0.000000
budget,16,6,0,21861106,20421130,LNS,full,300.000000,300.037600,2938.000000,528,2410,0.000000
budget,16,6,1,21861106,20422139,LocalSearch,full,300.000000,300.001400,2938.000000,528,2410,0.000000
budget,16,6,1,21861106,20422139,SA,full,300.000000,300.001600,2938.000000,528,2410,0.000000
budget,16,6,1,21861106,20422139,LNS,full,300.000000,300.025000,2938.000000,528,2410,0.000000
budget,16,6,2,21861106,20423148,LocalSearch,full,300.000000,300.001600,2938.000000,528,2410,0.000000
budget,16,6,2,21861106,20423148,SA,full,300.000000,300.001500,2938.000000,528,2410,0.000000
budget,16,6,2,21861106,20423148,LNS,full,300.000000,300.024100,2938.000000,528,2410,0.000000
budget,16,7,0,21861203,20421231,LocalSearch,full,300.000000,300.001800,3678.000000,592,3086,0.000000
budget,16,7,0,21861203,20421231,SA,full,300.000000,300.002300,3678.000000,592,3086,0.000000
budget,16,7,0,21861203,20421231,LNS,full,300.000000,300.034500,3678.000000,592,3086,0.000000
budget,16,7,1,21861203,20422240,LocalSearch,full,300.000000,300.001600,3678.000000,592,3086,0.000000
budget,16,7,1,21861203,20422240,SA,full,300.000000,300.001800,3678.000000,592,3086,0.000000
budget,16,7,1,21861203,20422240,LNS,full,300.000000,300.035400,3678.000000,592,3086,0.000000
budget,16,7,2,21861203,20423249,LocalSearch,full,300.000000,300.001900,3678.000000,592,3086,0.000000
budget,16,7,2,21861203,20423249,SA,full,300.000000,300.002300,3678.000000,592,3086,0.000000
budget,16,7,2,21861203,20423249,LNS,full,300.000000,300.015000,3678.000000,592,3086,0.000000
budget,16,8,0,21861300,20421332,LocalSearch,full,300.000000,300.001200,4554.000000,710,3844,0.000000
budget,16,8,0,21861300,20421332,SA,full,300.000000,300.001400,4554.000000,710,3844,0.000000
budget,16,8,0,21861300,20421332,LNS,full,300.000000,300.011500,4554.000000,710,3844,0.000000
budget,16,8,1,21861300,20422341,LocalSearch,full,300.000000,300.001700,4554.000000,710,3844,0.000000
budget,16,8,1,21861300,20422341,SA,full,300.000000,300.001800,4554.000000,710,3844,0.000000
budget,16,8,1,21861300,20422341,LNS,full,300.000000,300.027200,4554.000000,710,3844,0.000000
budget,16,8,2,21861300,20423350,LocalSearch,full,300.000000,300.001500,4554.000000,710,3844,0.000000
budget,16,8,2,21861300,20423350,SA,full,300.000000,300.001800,4554.000000,710,3844,0.000000
budget,16,8,2,21861300,20423350,LNS,full,300.000000,300.034200,4554.000000,710,3844,0.000000
budget,16,9,0,21861397,20421433,LocalSearch,full,300.000000,300.001800,4061.000000,686,3375,1.347642
budget,16,9,0,21861397,20421433,SA,full,300.000000,300.002000,4007.000000,682,3325,0.000000
budget,16,9,0,21861397,20421433,LNS,full,300.000000,300.038100,4007.000000,682,3325,0.000000
budget,16,9,1,21861397,20422442,LocalSearch,full,300.000000,300.001400,4007.000000,682,3325,0.000000
budget,16,9,1,21861397,20422442,SA,full,300.000000,300.001900,4007.000000,682,3325,0.000000
budget,16,9,1,21861397,20422442,LNS,full,300.000000,300.016500,4007.000000,682,3325,0.000000
budget,16,9,2,21861397,20423451,LocalSearch,full,300.000000,300.001900,4061.000000,686,3375,1.347642
budget,16,9,2,21861397,20423451,SA,full,300.000000,300.001900,4007.000000,682,3325,0.000000
budget,16,9,2,21861397,20423451,LNS,full,300.000000,300.053100,4007.000000,682,3325,0.000000
budget,16,10,0,21861494,20421534,LocalSearch,full,300.000000,300.002000,3849.000000,676,3173,0.000000
budget,16,10,0,21861494,20421534,SA,full,300.000000,300.002100,3849.000000,676,3173,0.000000
budget,16,10,0,21861494,20421534,LNS,full,300.000000,300.064500,3849.000000,676,3173,0.000000
budget,16,10,1,21861494,20422543,LocalSearch,full,300.000000,300.001900,3849.000000,676,3173,0.000000
budget,16,10,1,21861494,20422543,SA,full,300.000000,300.002200,3849.000000,676,3173,0.000000
budget,16,10,1,21861494,20422543,LNS,full,300.000000,300.040000,3849.000000,676,3173,0.000000
budget,16,10,2,21861494,20423552,LocalSearch,full,300.000000,300.002200,3849.000000,676,3173,0.000000
budget,16,10,2,21861494,20423552,SA,full,300.000000,300.003200,3849.000000,676,3173,0.000000
