experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
ablation,32,2,0,23460718,20580726,LNS,destroy_ratio_0.45,300.000000,300.306800,15982.000000,1388,14594,9.308529
ablation,32,2,1,23460718,20581735,LNS,full,300.000000,300.042700,14659.000000,1302,13357,0.314788
ablation,32,2,1,23460718,20581735,LNS,no_regret,300.000000,300.685100,14613.000000,1304,13309,0.000000
ablation,32,2,1,23460718,20581735,LNS,no_adaptive_weight,300.000000,300.266500,14679.000000,1310,13369,0.451653
ablation,32,2,1,23460718,20581735,LNS,no_local_search,300.000000,300.346600,15721.000000,1348,14373,7.582290
ablation,32,2,1,23460718,20581735,LNS,no_probability_acceptance,300.000000,300.024300,14711.000000,1308,13403,0.670636
ablation,32,2,1,23460718,20581735,LNS,destroy_ratio_0.15,300.000000,300.039400,14613.000000,1302,13311,0.000000
ablation,32,2,1,23460718,20581735,LNS,destroy_ratio_0.45,300.000000,300.189400,15409.000000,1330,14079,5.447205
ablation,32,2,2,23460718,20582744,LNS,full,300.000000,300.170100,14639.000000,1310,13329,0.177924
ablation,32,2,2,23460718,20582744,LNS,no_regret,300.000000,300.234700,14627.000000,1304,13323,0.095805
ablation,32,2,2,23460718,20582744,LNS,no_adaptive_weight,300.000000,300.085600,14751.000000,1314,13437,0.944365
ablation,32,2,2,23460718,20582744,LNS,no_local_search,300.000000,300.217800,14963.000000,1310,13653,2.395128
ablation,32,2,2,23460718,20582744,LNS,no_probability_acceptance,300.000000,300.372600,14739.000000,1314,13425,0.862246
ablation,32,2,2,23460718,20582744,LNS,destroy_ratio_0.15,300.000000,300.136600,14613.000000,1302,13311,0.000000
ablation,32,2,2,23460718,20582744,LNS,destroy_ratio_0.45,300.000000,300.337400,15323.000000,1336,13987,4.858687
ablation,32,3,0,23460815,20580827,LNS,full,300.000000,300.084700,11570.000000,944,10626,0.329518
ablation,32,3,0,23460815,20580827,LNS,no_regret,300.000000,300.046400,11588.000000,966,10622,0.485605
ablation,32,3,0,23460815,20580827,LNS,no_adaptive_weight,300.000000,300.049400,11768.000000,962,10806,2.046479
ablation,32,3,0,23460815,20580827,LNS,no_local_search,300.000000,300.015600,12392.000000,982,11410,7.457510
ablation,32,3,0,23460815,20580827,LNS,no_probability_acceptance,300.000000,300.121500,11845.000000,950,10895,2.714187
ablation,32,3,0,23460815,20580827,LNS,destroy_ratio_0.15,300.000000,300.287100,11532.000000,948,10584,0.000000
ablation,32,3,0,23460815,20580827,LNS,destroy_ratio_0.45,300.000000,300.565800,12191.000000,994,11197,5.714533
ablation,32,3,1,23460815,20581836,LNS,full,300.000000,300.013000,11722.000000,964,10758,1.612344
ablation,32,3,1,23460815,20581836,LNS,no_regret,300.000000,300.234600,11553.000000,942,10611,0.147365
ablation,32,3,1,23460815,20581836,LNS,no_adaptive_weight,300.000000,300.190200,11744.000000,984,10760,1.803051
ablation,32,3,1,23460815,20581836,LNS,no_local_search,300.000000,300.171200,13152.000000,1010,12142,14.008322
ablation,32,3,1,23460815,20581836,LNS,no_probability_acceptance,300.000000,300.089400,11706.000000,962,10744,1.473648
ablation,32,3,1,23460815,20581836,LNS,destroy_ratio_0.15,300.000000,300.019800,11536.000000,948,10588,0.000000
ablation,32,3,1,23460815,20581836,LNS,destroy_ratio_0.45,300.000000,306.109800,12677.000000,992,11685,9.890777
ablation,32,3,2,23460815,20582845,LNS,full,300.000000,300.186600,12173.000000,974,11199,4.131737
ablation,32,3,2,23460815,20582845,LNS,no_regret,300.000000,300.564100,11690.000000,952,10738,0.000000
ablation,32,3,2,23460815,20582845,LNS,no_adaptive_weight,300.000000,301.279700,12001.000000,950,11051,2.660393
ablation,32,3,2,23460815,20582845,LNS,no_local_search,300.000000,300.885300,13322.000000,1006,12316,13.960650
ablation,32,3,2,23460815,20582845,LNS,no_probability_acceptance,300.000000,301.696800,11694.000000,938,10756,0.034217
ablation,32,3,2,23460815,20582845,LNS,destroy_ratio_0.15,300.000000,300.192000,11691.000000,948,10743,0.008554
ablation,32,3,2,23460815,20582845,LNS,destroy_ratio_0.45,300.000000,301.286100,12499.000000,988,11511,6.920445
ablation,32,4,0,23460912,20580928,LNS,full,300.000000,300.542700,10793.000000,908,9885,1.428437
ablation,32,4,0,23460912,20580928,LNS,no_regret,300.000000,300.578900,10717.000000,906,9811,0.714219
ablation,32,4,0,23460912,20580928,LNS,no_adaptive_weight,300.000000,300.577900,11197.000000,954,10243,5.225073
ablation,32,4,0,23460912,20580928,LNS,no_local_search,300.000000,300.862900,12881.000000,966,11915,21.050653
ablation,32,4,0,23460912,20580928,LNS,no_probability_acceptance,300.000000,301.135800,11783.000000,920,10863,10.732074
ablation,32,4,0,23460912,20580928,LNS,destroy_ratio_0.15,300.000000,301.779400,10641.000000,928,9713,0.000000
ablation,32,4,0,23460912,20580928,LNS,destroy_ratio_0.45,300.000000,303.606600,12200.000000,952,11248,14.650879
ablation,32,4,1,23460912,20581937,LNS,full,300.000000,300.464000,10753.000000,928,9825,1.357338
ablation,32,4,1,23460912,20581937,LNS,no_regret,300.000000,300.722900,10791.000000,906,9885,1.715525
ablation,32,4,1,23460912,20581937,LNS,no_adaptive_weight,300.000000,301.044500,10707.000000,900,9807,0.923744
ablation,32,4,1,23460912,20581937,LNS,no_local_search,300.000000,300.119100,12864.000000,960,11904,21.255538
ablation,32,4,1,23460912,20581937,LNS,no_probability_acceptance,300.000000,300.706700,11531.000000,908,10623,8.690734
ablation,32,4,1,23460912,20581937,LNS,destroy_ratio_0.15,300.000000,300.197100,10609.000000,902,9707,0.000000
ablation,32,4,1,23460912,20581937,LNS,destroy_ratio_0.45,300.000000,300.615700,11998.000000,942,11056,13.092657
ablation,32,4,2,23460912,20582946,LNS,full,300.000000,300.096500,11117.000000,902,10215,4.355581
ablation,32,4,2,23460912,20582946,LNS,no_regret,300.000000,300.724600,10729.000000,906,9823,0.713414
ablation,32,4,2,23460912,20582946,LNS,no_adaptive_weight,300.000000,300.701300,11068.000000,914,10154,3.895616
ablation,32,4,2,23460912,20582946,LNS,no_local_search,300.000000,301.438500,12709.000000,964,11745,19.299728
ablation,32,4,2,23460912,20582946,LNS,no_probability_acceptance,300.000000,300.799000,10975.000000,928,10047,3.022623
ablation,32,4,2,23460912,20582946,LNS,destroy_ratio_0.15,300.000000,300.349800,10653.000000,928,9725,0.000000
ablation,32,4,2,23460912,20582946,LNS,destroy_ratio_0.45,300.000000,302.317900,12296.000000,976,11320,15.422886
ablation,32,5,0,23461009,20581029,LNS,full,300.000000,300.263100,11514.000000,950,10564,2.858674
ablation,32,5,0,23461009,20581029,LNS,no_regret,300.000000,300.074900,11207.000000,966,10241,0.116134
ablation,32,5,0,23461009,20581029,LNS,no_adaptive_weight,300.000000,300.921800,11439.000000,948,10491,2.188673
ablation,32,5,0,23461009,20581029,LNS,no_local_search,300.000000,300.393500,13653.000000,1040,12613,21.967125
