目标数,EDD目标值,匹配EDD目标值,局部搜索目标值,模拟退火目标值,LNS目标值,LNS总迟到时间,LNS平均时间毫秒
16,3993.3000,3282.8000,3206.9667,3407.2333,3142.0500,2604.5167,302.5207
24,7898.0000,6380.8500,6171.5500,6712.7833,5924.1333,5216.7333,734.6842
32,15805.3000,12492.5500,12554.3333,13113.0500,11806.4500,10784.2833,1377.2723
40,25611.7000,20400.1500,21028.7167,21476.5333,19402.8333,18071.4000,2774.6151
48,34797.9000,26020.2500,28019.6500,28153.9667,24820.4500,23421.0500,3577.5829
